date,entry_number,entry_type,entry_time,exit_time,ce_entry,pe_entry,ce_exit,pe_exit,exit_reason,PnL
2021-04-01,1,INITIAL,,2021-04-01 10:40:59,2.55,230.0,1.9,255.2,SL_HIT,-9581.249999999984
2021-04-01,2,REENTRY,,2021-04-01 13:15:59,77.7,31.3,121.0,9.7,SL_HIT,-8512.499999999996
2021-04-01,3,REENTRY,,2021-04-01 15:14:59,19.05,58.25,20.5,0.85,MARKET_CLOSE,20606.25
2021-04-05,1,INITIAL,,2021-04-05 09:57:59,52.05,268.55,31.3,340.15,SL_HIT,-19443.749999999985
2021-04-05,2,REENTRY,,2021-04-05 10:02:59,137.75,146.1,101.1,212.85,SL_HIT,-11662.499999999987
2021-04-05,3,REENTRY,,2021-04-05 15:14:59,204.55,116.9,218.25,76.2,MARKET_CLOSE,9750.000000000022
2021-04-06,1,INITIAL,,2021-04-06 15:14:59,110.3,136.5,95.75,103.95,MARKET_CLOSE,17287.500000000007
2021-04-07,1,INITIAL,,2021-04-07 15:14:59,68.0,130.5,79.35,55.7,MARKET_CLOSE,23418.749999999996
2021-04-08,1,INITIAL,,2021-04-08 12:11:59,15.5,87.0,5.25,116.95,SL_HIT,-7762.500000000001
2021-04-08,2,REENTRY,,2021-04-08 14:59:59,13.65,75.35,0.7,107.8,SL_HIT,-7687.5
2021-04-08,3,REENTRY,,2021-04-08 15:01:59,47.1,4.6,56.1,2.0,SL_HIT,-2774.9999999999995
2021-04-08,4,REENTRY,,2021-04-08 15:14:59,1.25,47.25,0.35,29.35,MARKET_CLOSE,6674.999999999999
2021-04-09,1,INITIAL,,2021-04-09 15:14:59,128.05,175.05,99.75,158.05,MARKET_CLOSE,16612.500000000004
2021-04-12,1,INITIAL,,2021-04-12 14:58:59,113.0,351.0,44.4,444.0,MARKET_CLOSE,-9524.99999999999
2021-04-13,1,INITIAL,,2021-04-13 15:14:59,120.05,123.5,228.4,28.35,MARKET_CLOSE,-5324.999999999995
2021-04-15,1,INITIAL,,2021-04-15 15:14:59,332.65,283.4,348.0,250.5,MARKET_CLOSE,6206.249999999983
2021-04-16,1,INITIAL,,2021-04-16 15:14:59,320.0,137.0,300.05,128.85,MARKET_CLOSE,10162.50000000001
2021-04-19,1,INITIAL,,2021-04-19 15:14:59,75.45,242.8,99.7,147.25,MARKET_CLOSE,26362.500000000004
2021-04-20,1,INITIAL,,2021-04-20 15:11:59,267.95,263.6,185.6,360.0,MARKET_CLOSE,-5643.7500000000255
2021-04-22,1,INITIAL,,2021-04-22 15:14:59,235.25,301.7,339.9,230.9,MARKET_CLOSE,-13068.749999999965
2021-04-23,1,INITIAL,,2021-04-23 15:14:59,290.9,249.95,282.6,236.15,MARKET_CLOSE,7912.499999999965
2021-04-26,1,INITIAL,,2021-04-26 15:14:59,234.2,247.4,221.15,229.0,MARKET_CLOSE,11418.750000000016
2021-04-27,1,INITIAL,,2021-04-27 15:14:59,238.55,196.0,288.0,137.0,MARKET_CLOSE,3206.250000000004
2021-04-28,1,INITIAL,,2021-04-28 15:14:59,146.75,204.8,212.1,151.0,MARKET_CLOSE,-4706.250000000005
2021-04-29,1,INITIAL,,2021-04-29 10:40:59,191.95,156.6,126.5,257.7,SL_HIT,-13743.750000000013
2021-04-29,2,REENTRY,,2021-04-29 15:14:59,173.75,203.25,178.75,183.25,MARKET_CLOSE,5250.0
2021-04-30,1,INITIAL,,2021-04-30 14:04:59,93.7,275.0,50.95,357.95,SL_HIT,-15449.999999999996
2021-04-30,2,REENTRY,,2021-04-30 15:14:59,164.5,170.55,149.0,192.85,MARKET_CLOSE,-2925.000000000004
